#,Country/territory,"Share 2016","Count 2016"
1,"United States of America (USA)",20767.06,27562
2,China,7676.63,10692
3,Germany,4682.20,8301
4,"United Kingdom (UK)",3807.94,7344
5,Japan,3416.73,5063
6,France,2440.45,4857
7,Canada,1777.68,3268
8,"South Korea",1419.46,2244
9,Switzerland,1348.57,2950
10,Australia,1211.62,2476
11,Spain,1205.47,2642
12,Italy,1183.33,2632
13,India,943.19,1410
14,Netherlands,869.66,2118
15,Sweden,661.59,1578
16,Israel,612.90,1187
17,Singapore,590.95,1105
18,Taiwan,499.71,987
19,Belgium,416.51,1057
20,Russia,388.36,1151
21,Denmark,373.80,1050
22,Austria,321.49,901
23,Poland,248.48,768
24,Brazil,238.12,753
25,Finland,222.94,649
26,"Czech Republic",161.02,573
27,Norway,152.89,564
28,Portugal,144.42,497
29,"New Zealand",129.57,352
30,Ireland,128.03,434
31,"Saudi Arabia",124.31,546
32,Greece,104.04,408
33,Chile,103.06,382
34,Argentina,97.32,314
35,Hungary,90.35,341
36,Mexico,79.27,293
37,Turkey,76.95,357
38,"South Africa",75.68,332
39,Iran,69.30,161
40,Slovenia,47.31,214
41,Ukraine,32.94,205
42,Thailand,32.77,165
43,Romania,27.43,212
44,Iceland,23.92,78
45,Pakistan,23.30,130
46,Croatia,20.57,150
47,Estonia,18.42,128
48,Colombia,17.17,231
49,Cyprus,16.82,74
50,Serbia,16.15,164
