#,Country/territory,"Share 2020","Share 2021","Count 2021","Change in Adjusted Share 2020-2021"
1,"United States of America (USA)",20180.68,20627.93,29170,-1.4
2,China,13581.68,14261.00,19096,1.2
3,Germany,4558.37,4754.31,9322,0.6
4,"United Kingdom (UK)",3779.64,3881.19,8221,-1.0
5,Japan,3030.64,3271.79,5291,4.1
6,France,2251.55,2225.19,5114,-4.7
7,Canada,1605.11,1624.33,3591,-2.4
8,"South Korea",1436.43,1517.44,2536,1.9
9,Switzerland,1491.02,1443.96,3305,-6.6
10,Australia,1264.14,1313.61,3156,0.2
11,Spain,1168.03,1239.02,2961,2.3
12,Italy,1036.28,1133.35,2896,5.5
13,India,1040.69,1037.63,1655,-3.9
14,Netherlands,933.31,972.68,2549,0.5
15,Sweden,626.47,700.11,1927,7.8
16,Israel,609.68,644.60,1288,1.9
17,Singapore,607.71,635.09,1293,0.8
18,Russia,468.24,534.07,1455,10.0
19,Belgium,413.06,432.54,1290,1.0
20,Taiwan,372.75,420.66,1032,8.8
21,Denmark,389.06,408.20,1262,1.2
22,Austria,368.50,378.51,1147,-1.0
23,Brazil,280.48,308.17,887,5.9
24,Poland,250.10,271.15,917,4.5
25,"Czech Republic",230.07,222.37,729,-6.8
26,Norway,229.72,215.26,799,-9.6
27,Finland,218.63,212.02,729,-6.5
28,Portugal,144.82,151.01,568,0.5
29,"Saudi Arabia",135.62,138.43,436,-1.6
30,Ireland,116.92,136.25,492,12.4
31,"New Zealand",131.64,133.50,438,-2.2
32,Chile,119.70,132.00,461,6.3
33,Argentina,94.38,115.33,359,17.8
34,Hungary,81.15,106.46,407,26.5
35,Mexico,94.67,106.37,407,8.3
36,Iran,112.21,105.24,266,-9.6
37,Greece,86.18,89.01,386,-0.4
38,"South Africa",83.37,85.02,395,-1.7
39,Turkey,64.58,71.51,359,6.8
40,Slovenia,46.54,49.67,199,2.9
41,Thailand,49.00,49.34,224,-2.9
42,Croatia,20.93,31.04,190,43.0
43,Iceland,25.26,28.76,98,9.8
44,"United Arab Emirates",21.20,27.10,123,23.3
45,Vietnam,16.35,26.17,104,54.3
46,Estonia,25.87,23.63,187,-11.9
47,Ukraine,23.24,22.73,219,-5.7
48,Romania,24.19,21.03,209,-16.2
49,Colombia,28.01,21.00,233,-27.7
50,Luxembourg,21.34,20.55,63,-7.2
