Entity,Code,Year,Research and development expenditure (% of GDP),2016,2017,2018,2019,2020,2021,2022,2023
Argentina,ARG,2015,0.62262,314,290,310,298,302,359,322,390
Argentina,ARG,2016,0.55815,314,290,310,298,302,359,322,390
Argentina,ARG,2017,0.55631,314,290,310,298,302,359,322,390
Argentina,ARG,2018,0.49435,314,290,310,298,302,359,322,390
Argentina,ARG,2019,0.45713,314,290,310,298,302,359,322,390
Australia,AUS,2015,1.92083,2476,2529,2440,2833,2999,3156,3073,3510
Australia,AUS,2017,1.87926,2476,2529,2440,2833,2999,3156,3073,3510
Australia,AUS,2019,1.82928,2476,2529,2440,2833,2999,3156,3073,3510
Austria,AUT,2015,3.04969,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2016,3.11655,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2017,3.05656,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2018,3.09058,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2019,3.12972,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2020,3.20128,901,1048,1030,1097,1137,1147,1244,1350
Belgium,BEL,2015,2.42817,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2016,2.52338,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2017,2.66666,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2018,2.86031,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2019,3.16,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2020,3.4772,1057,1112,1114,1190,1180,1290,1200,1494
Brazil,BRA,2015,1.37093,753,814,863,951,857,887,928,1051
Brazil,BRA,2016,1.28637,753,814,863,951,857,887,928,1051
Brazil,BRA,2017,1.1175,753,814,863,951,857,887,928,1051
Brazil,BRA,2018,1.16769,753,814,863,951,857,887,928,1051
Brazil,BRA,2019,1.20803,753,814,863,951,857,887,928,1051
Canada,CAN,2015,1.69324,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2016,1.72873,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2017,1.6858,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2018,1.67917,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2019,1.59163,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2020,1.69781,3268,3032,3130,3326,3414,3591,3519,4200
Chile,CHL,2015,0.38073,382,354,371,404,440,461,452,453
Chile,CHL,2016,0.36934,382,354,371,404,440,461,452,453
Chile,CHL,2017,0.35593,382,354,371,404,440,461,452,453
Chile,CHL,2018,0.36647,382,354,371,404,440,461,452,453
Chile,CHL,2019,0.34095,382,354,371,404,440,461,452,453
China,CHN,2015,2.05701,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2016,2.10033,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2017,2.11603,10692,11195,12845,15612,18043,19096,21414,24536
