Pais,Year,Value
Albania,2016,427.2249830591296
Albania,2018,416.7262575801223
Albania,2022,375.9677509261673
Algeria,2016,375.7451019544689
Argentina,2016,475.1865978922587
Argentina,2018,404.0714448216926
Argentina,2022,406.1913407059603
Australia,2016,509.9938540723134
Australia,2018,502.9645628824383
Australia,2022,507.0008693485718
Austria,2016,495.037486449348
Austria,2018,489.7804395314086
Austria,2022,491.270958720107
Baku (Azerbaijan),2018,397.6495810748745
Baku (Azerbaijan),2022,380.1436874924235
Belarus,2018,471.2636807934516
Belgium,2016,501.9997139990498
Belgium,2018,498.7731272392197
Belgium,2022,490.5783460591945
Bosnia and Herzegovina,2018,398.4976626990984
Brazil,2016,400.6821027480764
Brazil,2018,403.6209420392406
Brazil,2022,403.0012136364664
Brunei Darussalam,2018,430.9843766166588
Brunei Darussalam,2022,445.8551163421901
Bulgaria,2016,445.7719567958364
Bulgaria,2018,424.0735828752181
Bulgaria,2022,420.9932194994947
Cambodia,2022,347.1041621496973
Canada,2016,527.7046841380487
Canada,2018,517.9976607556696
Canada,2022,515.0166759982307
Chile,2016,446.9560662746412
Chile,2018,443.5825633876655
Chile,2022,443.5434024052522
China,2016,517.7792812731399
China,2018,590.4526400807878
Colombia,2016,415.7287605666218
Colombia,2018,413.3229929738771
Colombia,2022,411.1206732476464
Costa Rica,2016,419.6080320166782
Costa Rica,2018,415.622462110576
Costa Rica,2022,410.9866236658263
Croatia,2016,475.3911762969739
Croatia,2018,472.3626195729772
Croatia,2022,482.6674492104965
Cyprus,2016,432.5767693210705
Cyprus,2018,439.0082497979065
Cyprus,2022,410.9025172747924
Czech Republic,2016,492.8300491995716
Czech Republic,2018,496.7913106562312
Czech Republic,2022,497.7420469634635
Denmark,2016,501.9368884787613
Denmark,2018,492.6370333509744
Denmark,2022,493.8157116967911
Dominican Republic,2016,331.6388267532403
Dominican Republic,2018,335.6299465577193
Dominican Republic,2022,360.426059741043
El Salvador,2022,373.1413144308304
Estonia,2016,534.1937458156293
Estonia,2018,530.1080046217434
Estonia,2022,525.8117784943655
European Union,2016,494.8012907407006
FYROM,2016,383.6823826346873
Finland,2016,530.6611598757611
Finland,2018,521.8845631435396
Finland,2022,510.9588505290924
France,2016,494.9775999510607
France,2018,492.9770760583545
