#,Country/territory,"Share 2023","Count 2023"
1,"United States of America (USA)",21473.33,30503
2,China,20050.89,24536
3,Germany,4554.69,9409
4,"United Kingdom (UK)",3967.42,9057
5,Japan,2959.83,5044
6,France,2315.72,5397
7,Canada,1791.24,4200
8,"South Korea",1635.07,2675
9,Switzerland,1421.02,3547
10,Australia,1373.33,3510
11,India,1280.23,2012
12,Italy,1267.14,3429
13,Spain,1219.38,3330
14,Netherlands,1115.64,3011
15,Sweden,800.10,2371
16,Israel,660.69,1393
17,Denmark,574.82,1627
18,Singapore,551.45,1366
19,Taiwan,452.55,1035
20,Russia,448.19,1260
21,Belgium,445.81,1494
22,Austria,425.06,1350
23,Brazil,327.65,1051
24,Poland,296.54,1041
25,Finland,269.10,944
26,Norway,244.63,857
27,"Czech Republic",216.04,780
28,Portugal,157.13,592
29,"New Zealand",150.73,527
30,"South Africa",133.77,562
31,"Saudi Arabia",133.71,451
32,Iran,121.47,290
33,Ireland,114.61,531
34,Chile,107.83,453
35,Hungary,101.63,418
36,Turkey,98.13,467
37,Greece,96.98,512
38,Argentina,96.82,390
39,Mexico,87.11,393
40,Thailand,81.18,349
41,Slovenia,38.26,189
42,Estonia,33.48,188
43,Pakistan,32.94,235
44,Luxembourg,32.83,106
45,"United Arab Emirates",32.77,153
46,Vietnam,32.36,135
47,Iceland,30.19,124
48,Ukraine,28.75,212
49,Romania,26.02,226
50,Colombia,25.16,246
