Country/territory,2016,2017,2018,2019,2020,2021,2022,2023
United States,27562.0,26921.0,27350.0,28442.0,28449.0,29170.0,28205.0,30503.0
China,10692.0,11195.0,12845.0,15612.0,18043.0,19096.0,21414.0,24536.0
Germany,8301.0,8291.0,8212.0,8819.0,8801.0,9322.0,9447.0,9409.0
United Kingdom,7344.0,7296.0,7330.0,7683.0,7857.0,8221.0,8129.0,9057.0
Japan,5063.0,4804.0,4782.0,4935.0,4914.0,5291.0,5196.0,5044.0
France,4857.0,4850.0,4744.0,4922.0,5078.0,5114.0,4935.0,5397.0
Canada,3268.0,3032.0,3130.0,3326.0,3414.0,3591.0,3519.0,4200.0
South Korea,2244.0,2151.0,2129.0,2291.0,2422.0,2536.0,2606.0,2675.0
Switzerland,2950.0,2931.0,3059.0,3261.0,3282.0,3305.0,3385.0,3547.0
Australia,2476.0,2529.0,2440.0,2833.0,2999.0,3156.0,3073.0,3510.0
Spain,2642.0,2626.0,2516.0,2738.0,2786.0,2961.0,2858.0,3330.0
Italy,2632.0,2479.0,2552.0,2677.0,2657.0,2896.0,2985.0,3429.0
India,1410.0,1337.0,1467.0,1515.0,1656.0,1655.0,1910.0,2012.0
Netherlands,2118.0,2219.0,2232.0,2320.0,2411.0,2549.0,2446.0,3011.0
Sweden,1578.0,1610.0,1650.0,1732.0,1843.0,1927.0,2004.0,2371.0
Israel,1187.0,1122.0,1199.0,1233.0,1292.0,1288.0,1347.0,1393.0
Singapore,1105.0,1061.0,1136.0,1204.0,1254.0,1293.0,1336.0,1366.0
Taiwan,987.0,905.0,950.0,950.0,934.0,1032.0,1005.0,1035.0
Belgium,1057.0,1112.0,1114.0,1190.0,1180.0,1290.0,1200.0,1494.0
Russia,1151.0,1244.0,1300.0,1452.0,1419.0,1455.0,1522.0,1260.0
Denmark,1050.0,1048.0,1054.0,1154.0,1152.0,1262.0,1309.0,1627.0
Austria,901.0,1048.0,1030.0,1097.0,1137.0,1147.0,1244.0,1350.0
Poland,768.0,748.0,813.0,856.0,828.0,917.0,895.0,1041.0
Brazil,753.0,814.0,863.0,951.0,857.0,887.0,928.0,1051.0
Finland,649.0,626.0,617.0,738.0,738.0,729.0,757.0,944.0
Czech Republic,573.0,568.0,638.0,714.0,723.0,729.0,756.0,780.0
Norway,564.0,595.0,653.0,686.0,737.0,799.0,750.0,857.0
Portugal,497.0,500.0,534.0,643.0,558.0,568.0,578.0,592.0
New Zealand,352.0,358.0,391.0,435.0,444.0,438.0,387.0,527.0
Ireland,434.0,426.0,471.0,481.0,450.0,492.0,425.0,531.0
Saudi Arabia,546.0,514.0,465.0,497.0,452.0,436.0,448.0,451.0
Greece,408.0,389.0,398.0,432.0,423.0,386.0,402.0,512.0
Chile,382.0,354.0,371.0,404.0,440.0,461.0,452.0,453.0
Argentina,314.0,290.0,310.0,298.0,302.0,359.0,322.0,390.0
Hungary,341.0,323.0,340.0,392.0,376.0,407.0,409.0,418.0
Mexico,293.0,313.0,350.0,395.0,380.0,407.0,428.0,393.0
Turkey,357.0,336.0,327.0,382.0,375.0,359.0,387.0,467.0
South Africa,332.0,307.0,353.0,357.0,405.0,395.0,432.0,562.0
Iran,161.0,209.0,243.0,310.0,293.0,266.0,271.0,290.0
Slovenia,214.0,182.0,179.0,190.0,184.0,199.0,209.0,189.0
Thailand,165.0,165.0,223.0,241.0,254.0,224.0,277.0,349.0
Romania,212.0,216.0,235.0,217.0,213.0,209.0,211.0,226.0
Iceland,78.0,98.0,107.0,103.0,115.0,98.0,90.0,124.0
Colombia,231.0,240.0,270.0,287.0,272.0,233.0,241.0,246.0
